index,title,author,url,cuisine,image_url,ingredients,instructions,language,ratings,reviews,site_name,total_time,yields,calories,carbohydrateContent,proteinContent,fatContent,saturatedFatContent,cholesterolContent,sodiumContent,sugarContent,servingSize,fiberContent
50,Green Beans with Yuzu Vinaigrette,Namiko Chen,https://www.justonecookbook.com/green-beans-with-yuzu-vinaigrette/,"American,Japanese",https://www.justonecookbook.com/wp-content/uploads/2020/11/Green-Beans-with-Yuzu-Vinaigrette-0761-I.jpg,"['1 lb French green beans (haricot vert) ((trimmed))', '1 tsp kosher/sea salt (I use Diamond Crystal; Use half for table salt) ((for blanching))', '2 Tbsp yuzu juice/yuzu extract ((use any citrus of your choice: lemon, orange, Meyer lemon, grapefruit, or the mix of citrus))', '1 Tbsp extra-virgin olive oil', '1 tsp Dijon mustard', '1 tsp yuzu zest ((use zest from your citrus; here, I use zest from about ½ lemon, for flavor and garnish))', '¼ tsp kosher/sea salt (I use Diamond Crystal; Use half for table salt)', 'freshly ground black pepper']","Gather all the ingredients. If your green beans are not trimmed, snap the tip of one end of the bean with your fingers and draw it down the length of one side of the bean to remove any possible string. Do the same thing with the other end, pulling it down the other side of the bean.
To Prepare Green Beans
Have ready a large bowl of ice water. Bring a large pot of water (3 QT) to a boil over medium-high heat. When the water is at a rolling boil, add 1 tsp salt, then green beans.
Cook until beans are just tender, 3 minutes for French green beans; 4 to 5 minutes for regular green beans. Taste test for doneness. They are done when they are just cooked through but still have the slightest crunch of texture. Drain the green beans immediately.
Transfer the green beans to the ice-water bath to make them greener and fresher. Drain again and set aside, or, if making in advance, dry them thoroughly with a clean dry towel and refrigerate in an airtight container for a day or two.
To Make the Yuzu Vinaigrette
In a large bowl, whisk together 1 Tbsp olive oil, zest and 2 Tbsp juice from yuzu (or lemon), 1 tsp Dijon mustard, ¼ tsp salt, and freshly ground black pepper.
To Assemble
Toss the green beans with yuzu vinaigrette.
To Serve and Store
Transfer to a serving dish, sprinkle with more zest, and serve immediately. You can keep the leftover in an airtight container for 3 days.",en-US,5.0,,Just One Cookbook,20,6 serving(s),,,,,,,,,,
51,Pearl Balls,Namiko Chen,https://www.justonecookbook.com/pearl-balls-guest-post-by-weeknite-meals/,Chinese,https://www.justonecookbook.com/wp-content/uploads/2011/11/Pearlball.jpg,"['1.5 cups sweet rice/glutinous rice (Mochigome) ((soak in water overnight, drain and set aside right before you are ready to prepare))', ""1 lbs ground pork ((try to buy the ones with a little big more fat content so the pearl balls won't come out too dry))"", '1 tbsp green onions/scallions ((chopped))', '1 large egg (50 g w/o shell)', '¼ tsp kosher/sea salt (I use Diamond Crystal; Use half for table salt)', '¼ tsp MSG ((optional))', '¼ tsp freshly ground black pepper', '1 tbsp usukuchi (light-color) soy sauce', '6 water chestnuts ((peeled, smashed then minced))']","Except the sweet rice, mix all other ingredients together in a large bowl.
Grab handfuls of the mixed ingredients, pat them in your palms to make the mixture stickier.
Start boiling water to prepare the steamer, layer cheese cloth on the bottom of steamer (Optional).
Make meat balls, about 1 inch diameter each.
Roll the meat balls in sweet rice, make sure all sides are covered. Now the meat balls should resemble beautiful pearls!
Place the pearl balls into your steamer, steam on high for 20 minutes.
",en-US,5.0,,Just One Cookbook,40,25 serving(s),,,,,,,,,,
52,Bamboo Rice (Takenoko Gohan),Namiko Chen,https://www.justonecookbook.com/bamboo-rice-takenoko-gohan/,Japanese,https://www.justonecookbook.com/wp-content/uploads/2019/03/bamboo-rice-takenoko-gohan-I-2.jpg,"['2 rice measuring cups uncooked Japanese short-grain rice ((180 ml x 2 = 360 ml))', '5.3 oz boiled bamboo shoot ((½ boiled bamboo shoot; each bamboo shoot size is different, so adjust accordingly))', '½ aburaage (deep-fried tofu pouch)', '1 ½ cup water', '1 cup katsuobushi (dried bonito flakes) ((packed))', '2 Tbsp sake', '2 Tbsp usukuchi (light-color) soy sauce', '½ tsp kosher/sea salt (I use Diamond Crystal; Use half for table salt)']","To Prepare Rice
Rinse the rice under cold water, by gently rubbing the rice with your fingertips in a circling motion. Submerge the rice in water and pour out the starchy water. Rinse and repeat until the water becomes clear. Soak rice in water for 20-30 minutes. Meanwhile, start preparing the next ingredients. After soaking for 20-30 minutes, drain water completely and set aside for 10 minutes. If you don’t have time to wait, then shake off the excess water the best you can.
To Prepare Katsuo Dashi
Add 1 ½ cup water in a saucepan and bring it to almost boil. Add 1 cup packed katsuobushi to the water, reduce the heat, simmer for 30 seconds, and turn off the heat. Set aside and let the katsuobushi sink to the bottom, about 10 minutes.
Strain the dashi through a fine-mesh sieve over a liquid measuring cup. You need exactly 340 ml. If you don’t have enough, add water. If you have too much, then take it out. Tip: You can use used katsuobushi for Second Dashi (Niban Dashi) or make homemade furikake.
Add 2 Tbsp sake, 2 Tbsp usukuchi soy sauce (or regular soy sauce), and ½ tsp kosher salt. Usukuchi soy sauce (lighter color soy sauce) will not darken the rice as much as regular soy sauce.
Mix well to combine and let the salt dissolve completely. At the end, you should have 400 ml of broth.
To Prepare Ingredients
Prepare boiling water and pour over the aburaage to remove excess oil. Cut in half first and then cut into thin strips. Squeeze excess water out.
Open the packaged bamboo shoot and cut in half. Some pieces may be bigger or smaller, but you will need 5.3 oz (150 g).
Then cut the halves into quarters. The key here is to cut into smaller pieces so it’s easy to eat with rice. I usually keep the tip of bamboo, roughly ¾ inch length as intact (a triangle shape looks cute for presentation).
Then for the rest of bottom bamboo parts, cut into thin slices.
To Cook Rice
The rice should be drained well by now. Add the rice into the donabe (or rice cooker/heavy bottom pot). Pour 400 ml broth you prepared, and make sure the rice is evenly distributed in the pot.
Evenly distribute the aburaage over the rice (DO NOT MIX with rice) and then bamboo shoot on top of aburaage (again do not mix with the rest). Rice needs to be steamed nicely and evenly and when it’s mixed with other ingredients, it will not be cooked.
If you’re using the Kamado-san, place the inner lid and then the donabe lid. Cook on medium-high heat (or medium for a professional stove) for 14 minutes.
Once it’s cooked, remove from the stove and set aside for 20 minutes.
Cooking with Rice Cooker
Choose “regular” or “mixed rice” mode and start cooking. If you use “regular” setting, let it steam for 10 minutes more to create “okoge” (burnt rice).
Cooking On the Stove
Bring it to boil on medium heat (you can peek to see if it’s boiling). Once boiling, reduce the heat to low and cook for 15 minutes, or until liquid is completely gone.
To Serve + Store
Serve into individual rice bowls and enjoy! You can keep the leftovers in an airtight container and store it in the refrigerator for up to 3 days and in the freezer for a month.",en-US,5.0,,Just One Cookbook,60,4 serving(s),,,,,,,,,,
53,Simmered Bamboo Shoots,Namiko Chen,https://www.justonecookbook.com/simmered-bamboo-shoots/,Japanese,https://www.justonecookbook.com/wp-content/uploads/2018/05/Simmered-Bamboo-Shoots-w600.jpg,"['½ boiled bamboo shoot ((227 g, 8 oz))', '¾ cup katsuobushi (dried bonito flakes)', '2 Tbsp sake', '2 Tbsp mirin', '1 Tbsp sugar', '2 Tbsp soy sauce', '1 ½ cup water ((you can use dashi instead for more flavor))']","Gather all the ingredients.
Combine all the seasoning ingredients (2 Tbsp sake, 2 Tbsp mirin, 1 Tbsp granulated sugar, 2 Tbsp soy sauce, and 1 ½ cup water) in a saucepan.
Cut the bamboo shoots: cut the top 2-inch (5 cm) section into wedges. Then thinly slice the bottom section into quarter rounds, ¼ inch (6mm) thickness.
Add the bamboo shoots in the seasonings in the saucepan. Place the otoshibuta (drop lid) on top, and bring to a simmer over medium heat.
Once the sauce is reduced to one third, remove the otoshibuta.
[Optional] In a frying pan without oil, heat up katsuobushi until it gets dry and fragrant. Let cool a little bit and break the katsuobushi into fine pieces with hands.
Sprinkle Katsuobushi over the bamboo shoots and mix. Turn off the heat and serve at room temperature in a bowl. If you can find kinome leaves (I cannot get it here), garnish over the bamboo shoots. To get the fragrance going, quickly press the leaves between your hands like a clapping motion.
To Store
Keep the leftovers in an airtight container and store in the refrigerator for up to 3 days.",en-US,5.0,,Just One Cookbook,30,4 serving(s),,,,,,,,,,
54,Simmered Kabocha Squash (Japanese Pumpkin),Namiko Chen,https://www.justonecookbook.com/simmered-kabocha-squash/,Japanese,https://www.justonecookbook.com/wp-content/uploads/2019/09/Simmered-Kabocha-5770-I.jpg,"['1 lb kabocha (squash/pumpkin) ((½ of small kabocha))', '1 knob ginger ((optional; 1"", 2.5 cm))', '1 ¾ cups water', '2 packs katsuobushi (dried bonito flakes) ((1 package contains 3 grams katsuobushi))', '1 Tbsp sugar', '2 Tbsp sake', '2 tsp soy sauce', 'pinch kosher/sea salt (I use Diamond Crystal; Use half for table salt)']","Gather all the ingredients.
In a small pot, boil 1 ¾ (400 ml) cups water. Once boiling, add katsuobushi.
Mix together and turn off the heat. Set aside for 15 minutes. Then strain the katsuobushi with a fine-mesh sieve. Set the katsuo dashi aside for now. You can discard the katsuobushi or make furikake (rice seasonings) with the leftover katsuobushi.
Remove the seeds from the kabocha and microwave it for 2 minutes to soften the outer kabocha skin. You can skip microwaving if you have a sharp knife and the strength to cut through the skin.
Cut the kabocha into wedges, then equal 2” (5 cm) pieces. Remember, kabocha skin is edible and nutritious.
In a large pot, place the kabocha pieces in a single layer, skin side down.
Add dashi, sake, and sugar. Tip: Swirl the pot to mix the seasonings so you won't break the kabocha.
Cook on medium high heat and bring it to a boil.
Add soy sauce and salt, and swirl the pot again to mix the seasonings. If the liquid does not cover ¾ of kabocha, you can add a little bit of water. Bring to a boil again.
Once boiling turn down to medium-low heat to maintain the simmer. Cover with an otoshibuta (drop lid) and cook for 20-30 minutes (depends on size, and skin takes time to cook), or until the kabocha has a tiny thin crack near the skin (it’s a sign for doneness!). If you feel that liquid is evaporating too fast, you can cover the regular lid (and you still need to use otoshibuta).
Remove from the heat and let kabocha sit covered (with a pot lid) until cool, about 30 minutes. This helps kabocha absorbs more flavor as it cools. You can serve at room temperature or reheat before serving.
Optional Garnish
Cut the ginger into thin slabs and then thin julienne strips.
Soak in cold water for 1 minute to remove bitterness and drain well. Serve with simmered kabocha.",en-US,4.53,,Just One Cookbook,75,4 serving(s),,,,,,,,,,
55,How To Make Rice in a Rice Cooker,Namiko Chen,https://www.justonecookbook.com/how-to-make-rice/,Japanese,https://www.justonecookbook.com/wp-content/uploads/2020/01/How-to-Cook-Rice-8565-I-1.jpg,"['200 ml water ((Not warm or hot))', '400 ml water', '600 ml water', '800 ml water', '1000 ml water', '300-320 ml water', 'pinch kosher/sea salt (I use Diamond Crystal; Use half for table salt)', '570-600 ml water', 'pinch kosher/sea salt (I use Diamond Crystal; Use half for table salt)', '900 ml water', 'pinch kosher/sea salt (I use Diamond Crystal; Use half for table salt)', '1200 ml water', 'pinch kosher/sea salt (I use Diamond Crystal; Use half for table salt)']","Before You Start...
The rice to water ratio is 1 : 1.1 (or 1.2 ). Please read the blog post for a detailed explanation.
To Rinse the Rice
Overfill the plastic rice cooker cup (180 ml) and level off. In this recipe, I'm using 3 rice cooker cups (540 ml).
Add water just enough till it submerges all the rice. Then discard the water immediately. Repeat this process 2-3 times. Tip: Rice absorbs water very quickly when you start rinsing, so don't let the rice absorb the first few rounds of water.
Use your fingers to gently wash the rice in a circular motion for 10-15 seconds. Repeat this process 1-2 times.
Add water and discard the water. Repeat this process 1-2 times.
Repeat this process 2 more times.
When the water is almost clear, drain well. Tip: Use a fine-mesh sieve to drain and shake off excess water.
Transfer the drained rice to the rice cooker (I use the Zojirushi IH). Add water (600 ml for my 3 rice cooker cups).
To Cook the Rice
Soak the rice for 20-30 minutes (especially if you're using an older rice cooker). Select your menu and press ""Start"". Tip: Even though my rice cooker includes soaking time, I soak my rice for 20-30 minutes. Note: For this Zojirushi rice cooker, 3-cup ""regular"" white rice takes 55 minutes to cook, which already includes a 10-minute soaking time and 10-minute steaming time in the program.
Once the rice is done cooking, let it steam for 10 minutes (if your rice cooker does not include the steaming time). Open the lid and fluff the rice with a rice paddle.
To Store Cooked Rice
Transfer the rice in airtight containers and close the lid to keep the moisture in. Let cool completely before storing the containers in the freezer (read my tutorial post).",en-US,4.55,,Just One Cookbook,60,2 serving(s),,,,,,,,,,
56,Simmered Fried Tofu and Greens,Namiko Chen,https://www.justonecookbook.com/simmered-fried-tofu-and-greens/,Japanese,https://www.justonecookbook.com/wp-content/uploads/2020/05/Simmered-Fried-Tofu-and-Greens-1413-I-1.jpg,"['1 piece aburaage (deep-fried tofu pouch) ((¾ oz, 20 g))', '6 oz komatsuna ((or any greens such as spinach, bok choy, cabbage, napa cabbage, lettuce, Mizuna, etc))', '1 cup dashi (Japanese soup stock; click to learn more)', '½ tsp soy sauce ((Use gluten-free soy sauce for GF))', '½ tsp kosher/sea salt (I use Diamond Crystal; Use half for table salt)']","Gather all the ingredients.
Cut off the bottom of your greens and cut them into 2 inches (5cm) pieces.
Cut the aburaage into 3/8 inch pieces (1 cm).
In a medium saucepan, add dashi and aburaage and bring it to a simmer. Once simmering, add soy sauce and salt.
Mix all together and then add the dense parts (stems) of the greens.
Mix all together and cook for 1-2 minutes, and then add the tender parts (leaves) of the greens.
Mix together and simmer on low heat for 3 minutes (depending on the ingredients). Transfer the dish (with cooking liquid) to an airtight container and let cool to steep.
To Serve and Store
You can serve right away, but I recommend resting the dish for overnight. You can keep in the refrigerator for up to 3-4 days or freezer for up to 1 month. Reheat before serving, or you can serve at room temp or chilled (which I prefer).",en-US,4.78,,Just One Cookbook,200,4 serving(s),,,,,,,,,,
57,Daikon Leaves Furikake,Namiko Chen,https://www.justonecookbook.com/daikon-leaves-furikake/,Japanese,https://www.justonecookbook.com/wp-content/uploads/2019/03/Daikon-Leaves-Furikake-I-2.jpg,"['daikon leaves/greens from 1 daikon', '1 Tbsp sesame oil (roasted)', '2 tsp toasted white sesame seeds', '1 Tbsp mirin', '1 tsp sugar', '1 Tbsp soy sauce', '⅛ tsp kosher/sea salt (I use Diamond Crystal; Use half for table salt)']","Gather all the ingredients.
Cut off the leaves from daikon root. Wash well under cold running water. Then cut them into small pieces.
In a medium saucepan or a large frying pan, heat 1 Tbsp sesame oil on medium heat. Once the oil is hot, add the chopped daikon leaves.
Saute until the leaves are wilted and coated with oil. Then add 1 Tbsp mirin and 1 tsp sugar.
And add 1 Tbsp soy sauce. Taste and add a pinch of salt if needed.
Simmer on low heat. When the sauce is almost gone, add the sesame seeds.
When you can see the bottom of the saucepan, it’s done. Turn off the heat and transfer the furikake into a glass container. Let cool completely before storing.
To Store
You can keep in the refrigerator for up to 4-5 days.",en-US,4.24,,Just One Cookbook,15,None,,,,,,,,,,
58,Plum Rice Ball,Namiko Chen,https://www.justonecookbook.com/plum-rice-ball/,Japanese,https://www.justonecookbook.com/wp-content/uploads/2020/02/Plum-Rice-Ball-9104-I.jpg,"['1.5 lb cooked Japanese short-grain rice', '3.5 oz pickled plums (ko ume) (()', '2 Tbsp toasted white sesame seeds', '1 tsp kosher/sea salt (I use Diamond Crystal; Use half for table salt)', '3 sheets nori (seaweed) ((Cut the nori sheets in thirds))']","Gather all the ingredients.
Remove and discard the seeds from pickled plums.
Mince the plums with a sharp knife.
Add the chopped pickled plums and sesame seeds to the steamed rice.
With a rice paddle, mix well together using a cutting motion. Don’t make it mushy. Roughly divide the rice into 6 or 8 equal portions.
Prepare a bowl of water and a bowl of kosher salt. Wet both hands and then dip 2 fingertips in the salt and spread between your palms.
Scoop the rice onto your palm. Gently press and form the rice into a triangle. I use three fingers (thumb, index finger, middle finger) to make a triangle corner.
When you press, your hands should be just firm enough so the rice ball doesn't fall apart. You don't want to squeeze the rice too tight.
Wrap the rice ball with nori seaweed. Enjoy!",en-US,4.5,,Just One Cookbook,15,8 serving(s),,,,,,,,,,
59,Ume Shiso Rice,Namiko Chen,https://www.justonecookbook.com/ume-shiso-rice/,Japanese,https://www.justonecookbook.com/wp-content/uploads/2020/09/Ume-and-Shiso-Rice-7568-I.jpg,"['4 servings cooked Japanese short-grain rice ((for 4 servings, cook 2 rice cooker cups of uncooked Japanese short-grain rice))', '5 pieces umeboshi (Japanese pickled plum) ((or 4 large umeboshi; 1 per person depends on the size of ume))', '10 shiso leaves (perilla/ooba) ((or more if you like; I used 12 today))', '1 ½ Tbsp toasted white sesame seeds']","Gather all the ingredients. If you haven't prepared steamed rice yet, here are the instructions for cooking perfect Japanese short-grain rice in a rice cooker, an instant pot, or a pot on the stovetop.
Discard the stem of the shiso leaves and roll them up from the stem to the tip. Cut into thin julienned strips.
Discard the pit from umeboshi and chop it finely with the knife.
Use a big bowl like my Hangiri (Sushi Oke) or a baking sheet to mix rice, umeboshi, shiso, and sesame seeds together. Serve the rice in individual rice bowls. Enjoy!
To Store
In general, rice does not keep well in the refrigerator. I recommend freezing the leftover rice. I do so even when I save it for the next day. If you prefer to keep in the refrigerator, keep the rice in an airtight container and wrap the container with a thick towel to keep the rice cool but not cold.",en-US,5.0,,Just One Cookbook,10,4 serving(s),,,,,,,,,,
60,Green Bean Gomaae (Sesame Sauce),Namiko Chen,https://www.justonecookbook.com/green-bean-gomaae/,Japanese,https://www.justonecookbook.com/wp-content/uploads/2020/11/Green-Bean-Gomaae-9234-I-1.jpg,"['½ lb green beans ((8 oz))', '1 tsp kosher/sea salt (I use Diamond Crystal; Use half for table salt)', '3 Tbsp toasted white sesame seeds ((1 Tbsp sesame seed is 8-9 g))', '1 Tbsp soy sauce', '1 Tbsp sugar ((can reduce to ½ Tbsp, but that will increase saltiness))']","Gather all the ingredients.
Bring a pot of water to a boil. Even if your sesame seeds are toasted/roasted, it’s good to toast them again in a non-greased frying pan for a couple of minutes, gently jiggling the pan. Be careful not to burn them.
With a pestle and a mortar (or spice grinder), grind the sesame seeds, leaving some seeds uncrushed to add texture to the sauce.
Add soy sauce and sugar and mix it all together. The dressing looks more like a paste than dressing. Set aside.
To prepare the green beans. If your green beans are not trimmed, snap the tip of one end of the bean with your fingers and draw it down the length of one side of the bean to remove any possible string. Do the same thing with the other end, pulling it down the other side of the bean.
Add a pinch of salt and the green beans to the boiling water.
Cook the green beans for 4-5 minutes (3 minutes for French green beans/Haricots Verts) until they are bright green and tender but still crunchy.
Remove from the heat, place in a strainer, and quickly rinse them in cold water to stop them from cooking further (or you can transfer them to an ice-water bath). Shocking the green beans with cold water will help the beans stay green. You don’t need to chill them; the beans should still be warm. Drain or dry well with a clean towel and cut them into 2-inch long pieces.
Transfer the warm beans to the bowl and toss them in the sesame dressing. Serve at room temperature or chilled.
To Store
Keep the leftover in an airtight container and store in the refrigerator for up to 3 days.",en-US,4.62,,Just One Cookbook,20,4 serving(s),,,,,,,,,,
61,Pickled Daikon,Namiko Chen,https://www.justonecookbook.com/pickled-daikon/,Japanese,https://www.justonecookbook.com/wp-content/uploads/2019/08/Pickled-Daikon-1642-I-2.jpg,"['1 lb daikon radish ((Japanese white radish))', '1 dried red chili pepper', '2 Tbsp rice vinegar', '1 tsp sake ((optional))', '1 Tbsp kosher/sea salt (I use Diamond Crystal; Use half for table salt)', '⅓ cup sugar ((About 5 Tbsp))']","Gather all the ingredients.
Peel daikon and cut into 1/4 inch slices.
Cut the chili peppers into small pieces and discard the seeds if you prefer less spicy.
Put all the ingredients in a Ziploc bag and rub well.
Remove the air from the bag and close it. Keep in the refrigerator for 1-2 days. We like to pickle daikon for 2 days. Enjoy!",en-US,4.51,,Just One Cookbook,10,6 serving(s),,,,,,,,,,
62,Steamed Vegetables with Miso Sesame Sauce,Namiko Chen,https://www.justonecookbook.com/steamed-vegetables-with-miso-sesame-sauce/,Japanese,https://www.justonecookbook.com/wp-content/uploads/2019/09/Steamed-Vegetables-with-Miso-Sesame-Sauce-2-I-1.jpg,"['2 cups dashi (Japanese soup stock; click to learn more)', '1 Japanese sweet potato (Satsumaimo)', '½ gobo (burdock root)', '¼ kabocha (squash/pumpkin)', '1 carrot', '1 ear fresh corn', '10 asparagus', '1 head broccoli', '1 head cauliflower', '5 leaves napa cabbage', '10 cherry tomatoes', '6 Tbsp toasted white sesame seeds', '2 cloves garlic', '1 tsp sugar', '2 Tbsp miso', '2 Tbsp soy sauce', '2 Tbsp sesame oil (roasted)', '4 Tbsp mirin', '2 Tbsp rice vinegar', '¼ tsp kosher/sea salt (I use Diamond Crystal; Use half for table salt)']","To Prepare the Miso Sesame Sauce
Gather all the ingredients for Miso Sesame Sauce.
Grind 6 Tbsp sesame seeds with a pestle and mortar.
Crush 2 cloves garlic. Add 1 tsp sugar and 2 Tbsp miso and combine well.
Add 2 Tbsp soy sauce, 2 Tbsp sesame oil, 4 Tbsp mirin, and 2 Tbsp rice vinegar. Mix well.
Check the taste and add kosher salt if necessary. I added ¼ tsp salt.
To Prepare the Vegetables
Prepare all the ingredients. Make dashi; otherwise, use water instead.
Cut the sweet potatoes into ¼ inch slices (uniform smaller pieces will cook faster than larger pieces) and soak in water to remove starch. Drain and set aside.
Wash the gobo really well and peel it thinly with a peeler. Soak in water immediately to avoid color changes and change the water once. Drain and set aside.
Discard the seeds from kabocha and slice thinly.
You can either cut the carrot into ¼ inch slices or use a peeler to peel the carrot.
Cut the corn on the cob into 1-inch thickness.
Hold each asparagus, snap and discard the shorter bottom end. Cut the asparagus in half.
Cut the broccoli and cauliflower into florets.
Cut the napa cabbage into bite-size pieces.
To Steam
Pour the dashi in your steamer, cover the lid, and bring it to boil on medium-high heat. As a quick guide, dashi (or water) should be at least 1-2 inches to your steamer (pot). Insert the steamer basket. Make sure the surface of the dashi (or water) is not touching the basket. If it is, take out some water.
When steam is coming out from the pot strongly, reduce the heat to medium and place the hard vegetables such as sweet potatoes and root vegetables. I also added kabocha squash and corn here as the rest of ingredients are fairly fast to cook. Cover the pot and set timer for 5 minutes.
Then add “Flower” vegetables such as asparagus, broccoli, cauliflower, and the bottom part of the napa cabbage. I also added carrot peels here. Set the timer for 3 minutes.
Lastly, add the leafy part of the napa cabbage and mini tomatoes. Cook for 2 more minutes.
Insert a bamboo skewer to check the doneness of denser vegetables. If it goes through, it’s ready to eat! Stop the steaming when the vegetables are still a bit crunchy since the residual heat will continue to cook the vegetables.
Serve the steamed vegetables with Miso Sesame Sauce and enjoy! During the meal, you can continue to steam the vegetables. Keep an eye on the dashi/water inside the pot. Make sure you are not running out of dashi/water. If it’s too little, add more dashi/water.",en-US,5.0,,Just One Cookbook,30,4 serving(s),,,,,,,,,,
63,Pickled Cucumbers and Myoga,Namiko Chen,https://www.justonecookbook.com/pickled-cucumbers-and-myoga/,Japanese,https://www.justonecookbook.com/wp-content/uploads/2020/09/Pickled-Cucumbers-with-Myoga-7647-I-2.jpg,"['2 Persian/Japanese cucumbers ((12 oz, 340 g))', '3 Myoga ginger', '1 knob ginger ((1 inch, 2.5 cm))', '1 dried red chili pepper', '1 piece kombu (dried kelp) ((1""x2"", 2.5 cm x 5 cm))', '1 tsp kosher/sea salt (I use Diamond Crystal; Use half for table salt)']","Gather all the ingredients.
Peel the cucumber alternately to create stripes. Remove the ends.
Cut the cucumbers into Rangiri (rotate the cucumber as you cut in angle).
Discard the tough ends of myoga and slice thinly.
Thinly slice the ginger and cut them into juliened strips.
Remove the seeds from the dried chili pepper and cut it into rounds.
Cut the kombu into thin strips using a pair of scissors.
In a mason jar, add all the ingredients and salt.
Close the lid and shake it to distribute the salt around the ingredients.
Open the lid and put the weights. Close the lid tightly and refrigerate for several hours. Moisture is going to be drawn out from the cucumber and dilute the saltiness.
To Serve and Store
Remove the weights and serve in a dish. You can store the jar (without weights) for 2 days.",en-US,2.0,,Just One Cookbook,5,4 serving(s),,,,,,,,,,
64,Matsutake Gohan (Wild Pine Mushroom Rice),Namiko Chen,https://www.justonecookbook.com/matsutake-gohan/,Japanese,https://www.justonecookbook.com/wp-content/uploads/2011/10/Matsutake-Gohan-I-e1317787831892.jpg,"['3 rice cooker cups uncooked Japanese short-grain rice', '4-7 oz Matsutake mushrooms ((110 - 200 g; I used 7 oz today))', '2 ½ cup dashi (Japanese soup stock; click to learn more) ((600 ml) (use kombu dashi for vegetarian))', 'mitsuba (Japanese parsley) ((to garnish))', '3 Tbsp soy sauce', '2 Tbsp mirin', '1 Tbsp sake']","Rinse the rice under running water several times until the water is almost translucent and drain well.
Trim off the bottom of the mushroom stems. Thoroughly clean the mushroom with damp towel or paper towel. Do not wash the mushroom. Slice lengthwise into ⅛” slices.
Put the rice and Seasonings in a rice cooker, and add dashi until a 3-cup line (you don't need to use all dashi).
Add matsutake mushroom on top of the rice (do not mix!) and start cooking. Rice cookers these days include the soaking time; however, you can also soak rice for 15-30 minutes before cooking.
When the rice is cooked, mix it gently. Garnish with Mitsuba before you serve.",en-US,4.71,,Just One Cookbook,70,6 serving(s),,,,,,,,,,
65,Yaki Onigiri,Namiko Chen,https://www.justonecookbook.com/yaki-onigiri-grilled-rice-ball/,Japanese,https://www.justonecookbook.com/wp-content/uploads/2020/03/Yaki-Onigiri-Grilled-Rice-Ball-9532-I.jpg,"['2 rice cooker cups uncooked Japanese short-grain rice', '400 ml water', 'kosher/sea salt (I use Diamond Crystal; Use half for table salt)', 'neutral-flavored oil (vegetable, canola, etc)', 'soy sauce ((I love using my homemade unagi sauce))']","Gather all the ingredients. Cook the rice in the rice cooker, pot over the stove top or pressure cooker.
Let the cooked rice cool a little bit until you can hold rice without burning your hands. Do not let the rice completely cool down.
First, wet both of your hands with water so the rice won’t stick.
Then put some salt in your hands and rub to spread all around.
Scoop about a half cup of rice onto your palm.
Cover the rice with the other hand and gently form the rice into a triangle.
Make sure covering hand (my right hand) should be forming a triangle shape. When forming the onigiri shape, your hands should be just firm enough so the onigiri doesn't fall apart. You don't want to squeeze the rice too tight.
I use three fingers (thumb, index finger, middle finger) to cover the area to make a nice triangle shape. Then rotate onigiri to make a perfect triangle.
While you squeeze onigiri firmly with both hands, one of your hands has to press onigiri to keep a nice form.
Gently squeeze the center of triangle on both sides so there is a slight indentation (for grilling onigiri). Now onigiri is ready! You can tell I’m not a good onigiri maker – no matter how many years I have been practicing.
Lightly oil a cast iron skillet and put it on medium heat.
Grill onigiri until all sides are crispy and lightly browned. Don’t flip it quickly. Just work on one side at a time and avoid turning over frequently.
Lower heat to medium low and brush all sides with soy sauce (unagi sauce). Rotate to make sure all sides become crispy. Be careful not to burn onigiri after you brush it with the sauce.
To Store
Rice gets hard when you refrigerate. You can individually wrap the Yaki Onigiri in plastic wrap and cover them with kitchen towel and store in the refrigerator for up to 2 days. The towel will prevent the rice from getting too cold and keep the food stay cool but not cold. When you're ready to eat, bring it back to room temperature and reheat in microwave or frying pan.",en-US,4.66,,Just One Cookbook,30,6 serving(s),,,,,,,,,,
