index,title,author,url,cuisine,image_url,ingredients,instructions,language,ratings,reviews,site_name,total_time,yields,servingSize,calories,carbohydrateContent,proteinContent,fatContent,saturatedFatContent,cholesterolContent,sodiumContent,sugarContent,fiberContent,transFatContent,unsaturatedFatContent
185,Dakgangjeong - Soy Garlic Fried Chicken,Sue,https://mykoreankitchen.com/dakgangjeong-soy-garlic-fried-chicken/,Korean,https://mykoreankitchen.com/wp-content/uploads/2020/06/1.1.-Dakgangjeong-Soy-Garlic-Boneless-Korean-Fried-Chicken.jpg,"['900 g boneless chicken thigh fillets ((2 pounds), cut into bite size pieces)', '2 Tbsp rice wine', '1 tsp onion powder', '1 tsp garlic powder', '1 tsp fine sea salt', '1/4 tsp ginger powder', 'A few cracks ground black pepper', '1.5 cups corn starch', 'cooking oil (for deep frying (I used rice bran oil))', '1/4 cups soy sauce', '2 Tbsp brown sugar', '2 Tbsp honey', '2 Tbsp water', '2 Tbsp rice wine', '1/2 Tbsp minced ginger', '1/2 Tbsp minced garlic', 'A few cracks ground black pepper', '3 dried chilies ((optional))', '2 green onions ((optional), white part)', '2 tsp corn starch', '2 tsp water', 'toasted sesame seeds', 'green onions (, thinly sliced)']","Deep Frying Method
Combine
In a large bowl, place the chopped chicken and add rice wine, onion powder, garlic powder, salt, ginger powder, and ground black pepper. Combine them well. Set aside.
Dredge
Place the corn starch in a large bowl. Dredge the seasoned chicken pieces in the corn starch and evenly coat them.
Deep Fry
In a deep saucepan (or fryer) add a generous amount of oil and heat it until the oil temperature reaches 175 C / 347 F. Start adding the chicken carefully and fry them until they cook. (It takes 4 to 5 mins depending on the size of chicken). Do not overcrowd the pan, and cook in batches if needed. (It might be useful to use a grease splatter screen if you have one as it minimises oil splatter.)
Twice Deep Fry
Take out the cooked chicken and place them onto some kitchen paper to soak up excess oil. Quickly scoop out any floating debris from the oil using a skimmer. Deep fry the chicken again when the oil temperature reaches 175 C / 347 F. Fry them until the batter is golden and crisp. (The second time frying is shorter than the first time, 2 to 3 mins.) Set aside.
Make Sauce
In a separate pan, combine all the sauce ingredients. Bring it to boil over medium low heat while stirring often. Once the sauce starts bubbling, take out the chilies and green onion pieces. In a separate bowl, combine and mix the slurry ingredients then pour it over the sauce. Stir often. Once the sauce thickens or turns to glaze (within 1 – 2 mins), remove from the heat and cool down for 5 mins.
Baste
Place the double fried chicken onto the lined baking sheet, then using a cooking brush, gently baste the chicken with the sauce. Once all the chicken is coated with the sauce, garnish with sesame seeds and green onions. Serve.
Air Fryer Method (Frying Only)
Spray cooking oil on air fryer basket.
Line Up
Place the chicken pieces, without overlapping, onto the basket. Spray some oil lightly over the chicken pieces. (While it is optional, chicken browns better with extra oil coating.)
Air Fry
Cook at 200 C / 390 F for 6 to 7 mins. Turn them over and spray oil lightly to cover the dried white spots (from corn starch). Cook for another 6 to 7 mins, or until golden brown.",en-US,5.0,,My Korean Kitchen,40,4 serving(s),1 serving,549 kcal,63 g,46 g,9 g,2 g,214 mg,1601 mg,15 g,1 g,,
186,Korean Chili Oil Recipe,Sue,https://mykoreankitchen.com/chili-oil-recipe/,Korean,https://mykoreankitchen.com/wp-content/uploads/2020/11/1.-Korean-Chili-Oil.jpg,"['1/2 cup Korean chili flakes', '40 g garlic cloves ((1.4 ounces), peeled, washed and thinly sliced)', '40 g ginger ((1.4 ounces), peeled, washed, and thinly sliced)', '70 g green onion ((2.4 ounces), peeled, washed, and thinly sliced)', '1.5 cups cooking oil ((I used rice bran oil, but canola or grape-seed oil can work too.))']","Add the Korean chili flakes in a medium sized heat proof bowl or a small stainless steel pot. (A pot with a long handle is a great option as you can filter the oil easier later on.)
Add in the garlic, ginger, green onion into a wide base saucepan or sauté pan. Pour the cooking oil and bring it to boil over medium high heat until the aromatics start turning light brown or until the oil temperature reaches about 170 C / 340 F when you use an instant thermometer. Depending on your stove type, it will be between 5 to 10 mins to reach this point. Another sign you could use is by splashing a small amount (about 2 tsp) of boiled oil over the Korean chili flakes. If the temperature is high enough, the chili flakes will make some sizzling bubbles. Turn the heat off.
Scoop out the aromatic vegetables using a slotted spoon or tongs and discard. Or strain them while pouring the oil over the chili flakes (from step 1) in a few batches. It will make small sizzling bubbles initially then die down as it cools. Stir around the chili flakes and oil to mix them well. Steep the chili flakes for 15 mins and allow it to bring out the flavor and color.
Filter the oil using a funnel and filter paper and transfer the chili oil into a sterilized glass jar. (Most Koreans do not keep the residual chili flakes after steeping but if you want to you can keep them. Just skip the filtering process.) To store, refrigerate the jar. Try to use the oil within 2 months. To use, give the oil a stir before using and always use a clean spoon to scoop it out.",en-US,5.0,,My Korean Kitchen,30,1 serving(s),1 serving,3418 kcal,84 g,20 g,354 g,28 g,,1963 mg,11 g,45 g,,
187,Dalgona Coffee (Korean Whipped Coffee),Sue | My Korean Kitchen,https://mykoreankitchen.com/dalgona-coffee-whipped-coffee/,Korean Fusion,https://mykoreankitchen.com/wp-content/uploads/2020/04/1.-Dalgona-Coffee.jpg,"['1 Tbsp instant coffee ((I used Moccona vanilla praline and it’s super tasty!))', '1 Tbsp sugar', '1 Tbsp hot water', '3/4 cups milk (~ 1 cup, chilled or heated)', 'ice cubes ((optional))']","Combine instant coffee, sugar and hot water in a mixing bowl. Mix them well. Then using a handheld mixer (stand mixer or milk frother) whisk it on high speed until the coffee mixture forms a stiff peak (2-4 mins). If you don’t have any of these tools, you can whisk it manually by hand. It still works! Just whisk it about 400 times.
Add the ice cubes in a mug then pour over the milk. Scoop out the whipped coffee on top of the milk. Serve.",en-US,4.96,,My Korean Kitchen,5,1 serving(s),1 serving,176 kcal,25 g,6 g,6 g,3 g,18 mg,81 mg,21 g,,,
188,Omurice (Omelette Rice),Sue,https://mykoreankitchen.com/omelet-rice-omurice/,Korean Fusion,https://mykoreankitchen.com/wp-content/uploads/2007/04/3.-Omurice-Rice-Recipe.jpg,"['1.5 Tbsp cooking oil ((I used rice bran oil))', '1 Tbsp plain flour', '5 Tbsp ketchup', '1 Tbsp soy sauce (, regular (kikkoman))', '1 Tbsp Tonkatsu sauce (or regular soy sauce)', '1 Tbsp honey (or brown sugar)', '3/4 cups water', '1/4 cups milk', 'Some cooking oil', '1/2 carrot ( (60g / 2 ounces), finely chopped)', '1/2 onion ((80g / 2.8 ounces), finely chopped)', '1/3 green bell peppers ((45g / 1.6 ounces), finely chopped)', '80 g smoked ham (2.8 ounces, (e.g Strasburg meat), finely diced or minced beef, pork or chicken)', '2 cups cooked rice ((short or medium grain), cooled)', '1 Tbsp ketchup ((or more if not serving with the demi-glace sauce above))', '1 Tbsp Worcestershire sauce', '1 Tbsp soy sauce (, regular (kikkoman))', '1 Tbsp rice wine ((mirin))', 'Some cooking oil', '6 eggs ((3 eggs per serving))', 'A pinch salt']","DEMI-GLACE SAUCE
Combine the sauce ingredients – ketchup, soy sauce, Tonkatsu sauce, honey, water and milk in a bowl or large measuring cup. Set aside.
Preheat a frying pan and add the cooking oil and flour. Cook over medium to medium high heat until the liquid turns dark brown. It takes about 5 to 7 minutes. Stir occasionally. Reduce the heat to low.
Pour the sauce in from step 1 and stir well. Bring up the heat and cook over medium low to medium heat until the sauce thickens (about 8-10 minutes). Stir often. Set aside.
FRIED RICE
Preheat a skillet and add some cooking oil. Stir fry carrot, onion, green bell pepper and smoked ham until all ingredients are cooked.
Add the rice and the rice seasoning and mix them well for 1 to 2 minutes.
Turn the heat off. Cover with foil or a lid to keep the rice warm while getting other ingredients ready.
When ready to serve, shape the rice in a small bowl to make mounds of rice. Place the serving plate on the bowl and flip. Remove the bowl.
TORNADO OMELETTE
Beat the eggs in a bowl. To give a smooth texture, sieve through the eggs. (This is also one of the key points for success as it makes the omelette turn smoothly). Add a pinch of salt.
Preheat a non-stick frying pan over medium high heat. (It should be heated well enough for the egg to bubble up when you pour it in.) Add some cooking oil and spread it all over the pan.
Pour the beaten egg onto the pan and cook it until the edge (about 3 mm / 0.12 inch) is cooked. But an easier telltale is when the omelette starts forming air bubbles in the middle of the pan. You should look for a bit larger sized bubbles.
Hold one wooden chopstick in each hand diagonally to yourself and push the egg from the edge towards the centre while maintaining about 4 to 5 cm (1.5-2 inch) gap between each chopstick, and start twirling your chopsticks in one direction. Holding diagonal instead of parallel to yourself will give you more room to turn the egg. Swap the chopstick holding hands in between twirling to be able to keep turning and to make the tornado egg smoothly. Cook the omelette until it’s about 95% cooked. (If the omelette is fully cooked, it’s hard to keep the tornado shape as it might break in the centre.)
Hold the chopsticks with one hand and slowly slide the omelette from the pan onto the shaped rice.
Pour the demi-glace sauce (or ketchup if you didn’t make the sauce) and serve.
OVAL SHAPE OMELETTE
Beat the eggs in a bowl. To give a smooth texture, sieve through the eggs. Add a pinch of salt.
Preheat a non-stick frying pan over medium high heat. Add some cooking oil.
Reduce the heat to medium and pour the beaten egg in the pan. Quickly spread the egg and make a thin, large, and round omelette.
Once the omelette is 85% cooked, place one serving of fried rice in the middle of the omelette and spread well.
Fold around the edge of the omelette toward the rice, providing a short blanket.
Slowly slide and flip the egg from the pan onto the serving plate. Or place the serving plate on the omelette rice and flip the pan. Ensure there’s no residual oil in the pan to avoid an accidental burn.
Use cooking foil (or cooking paper) to shape the omelette into an oval shape. Watch out as the omelette rice can be hot.
Pour the demi-glace sauce (or ketchup if you didn’t make the sauce) and serve.
ROUND SHAPE OMELETTE (EASIEST)
Beat the eggs in a bowl. To give a smooth texture, sieve through the eggs. Add a pinch of salt.
Preheat a non-stick frying pan over medium high heat. Add some cooking oil.
Pour the beaten egg in the pan. Quickly spread the egg and make a thin, large, and round omelette.
Once the omelette is fully cooked, slide it out onto a small bowl. Gently tuck in the egg following the shape of the bowl.
Place the fried rice on top of the omelette (from step 4). Push it gently to shape it firm.
Place the serving plate on top of the bowl. Flip the plate and remove the bowl.
Pour the demi-glace sauce (or ketchup if you didn’t make the sauce) and serve.",en-US,4.86,,My Korean Kitchen,45,2 serving(s),1 serving,702 kcal,80 g,33 g,26 g,6 g,513 mg,2759 mg,26 g,2 g,,
189,Tuna Pancakes (Chamchijeon),Sue | My Korean Kitchen,https://mykoreankitchen.com/tuna-pancakes-chamchijeon/,Korean,https://mykoreankitchen.com/wp-content/uploads/2006/10/2.-Korean-Tuna-Pancakes.jpg,"['185 g canned tuna (, well-drained)', '2 large eggs (, beaten)', '30 g green onions ((1 ounce), finely chopped)', '45 g onion ((1.6 ounces), finely diced)', '20 g red bell peppers (or chili (0.7 ounces), seed removed & finely diced)', '20 g green bell peppers (or chili (0.7 ounces), seed removed & finely diced)', '1 Tbsp mayonnaise (, optional (I used Hellmann’s brand))', '2 tsp all purpose flour', '1/4 tsp fine sea salt', 'A few sprinkles ground black pepper', 'Some cooking oil (, I used rice bran oil)', '1 Tbsp soy sauce (, regular)', '1 Tbsp water', '1 Tbsp rice wine vinegar', '2 tsp sugar']","Make the dipping sauce by whisking all the dipping sauce ingredients in a small bowl. Set aside. Combine all the prepared main ingredients (excluding the oil) in a mixing bowl and mix them well.
Preheat a skillet over medium low heat and once heated add some cooking oil across the pan. Scoop out the tuna mixture with a spoon (heaped), and gently place it onto the pan (each spoonful mixture makes one pancake). Cook for 2-3 mins. Flip them over and cook another 2-3 mins, or until golden brown.You can also tell it is ready when no egg liquid seeps out when you gently press the mixture down with a spatula.Remove from the pan when both sides of the pancake are cooked. Repeat this until all the remaining mixture is used up. You may need to add more cooking oil between the batches.
Serve with the dipping sauce. Also with cooked rice and other Korean side dishes.",en-US,4.92,,My Korean Kitchen,20,10 serving(s),1 serving,69 kcal,2 g,7 g,3 g,1 g,37 mg,246 mg,1 g,1 g,,
190,Pan Fried Korean Zucchini (Hobak Jeon),Sue,https://mykoreankitchen.com/pan-fried-zucchini/,Korean,https://mykoreankitchen.com/wp-content/uploads/2020/08/2.-Hobak-Jeon.jpg,"['1 Korean zucchini ((or summer squash), (185g / 7 ounces), thinly sliced (0.3 – 0.5cm / 0.2 inches))', '3 Tbsp all purpose flour ((rice flour or Korean pancake mix will work fine too.))', '2 eggs (, beaten)', '3/4 tsp fine sea salt (, divided into one 1/4 tsp lot and one 1/2 tsp lot)', 'Some cooking oil']","Place the sliced zucchini on a flat surface (I used a rimmed baking sheet). Sprinkle salt (1/4 tsp) around the zucchini evenly. Rest for about 5 mins. Gently wipe any excess moisture from the zucchini with kitchen paper.
Place the flour and remaining salt (1/2 tsp) in a freezer bag and add the zucchini. Shake the bag, while holding tightly the open end with one hand, ensuring the zucchini is evenly coated.
Take out the zucchini from the bag one by one, gently shake off excess flour, dunk them into a bowl of beaten egg. Coat both sides of the zucchini with the egg in batches.
Preheat a skillet over medium to medium low heat. Once heated, add some cooking oil and spread well. Gently place the zucchini and cook both sides until lightly golden brown.(It is important to cook the zucchini over medium to medium low to heat to avoid burning it. It will take about 3-4 mins to cook both sides but it will depend on the thickness of your zucchini. Flip them over halfway through. You may have to cook them in batches.) Transfer to a plate.
Serve with Korean pancake dipping sauce, cooked rice and other Korean side dishes.",en-US,5.0,,My Korean Kitchen,20,4 serving(s),1 serving,62 kcal,6 g,5 g,2 g,1 g,82 mg,469 mg,1 g,1 g,,
191,Slow Cooker Korean Short Ribs,Sue | My Korean Kitchen,https://mykoreankitchen.com/slow-cooker-short-ribs/,Korean,https://mykoreankitchen.com/wp-content/uploads/2020/03/1.-Slow-Cooker-Korean-Short-Ribs.jpg,"['1.5 kg bone-in beef short ribs ((3.3 pounds))', '500 g baby potatoes ((18 ounces), rinsed)', '300 g carrots ((11 ounces), peeled & cut in medium size chunks)', 'green onions ((optional), thinly sliced)', 'toasted sesame seeds ((optional))', '1 red apple (or pear (Asian pear or Williams pear), (170 g / 6 ounces), cored & chopped)', '1/2 onion ((60 g / 2 ounces), peeled & chopped)', '1/2 cup beef stock', '1/2 cup soy sauce (, regular (kikkoman))', '1/4 cup brown sugar', '2 Tbsp honey', '2 Tbsp rice wine ((mirin))', '1 Tbsp minced garlic', '1 tsp sesame oil', '5 whole black peppercorns', '2 Tbsp corn starch ( (or potato starch))', '2 Tbsp water']","Rinse the bone-in short ribs under cold water, mainly around the bone area to remove any bone fragments. (If you have some time, you can soak in cold water for 10 mins while changing water a few times.) Gently pat down the ribs with some kitchen papers.
Pre heat a large skillet over medium high heat and place the ribs. Brown all sides for about 1 minute. Transfer them into the slow cooker crockpot as they finish.
Blend the sauce ingredients in a mixer or food processor until smooth. Pour over the meat. Add the baby potatoes and carrots. Close the lid and cook for 8 hours on low heat. (You could cook for 5 hours on high heat if you’re short on time, but I find that it results in less flavorful and less tender meat.)
30 mins prior to the end of the cooking time, make the starch slurry by combining the water with the starch flour. Whisk well and pour it into the slow cooker. Turn the heat to high and simmer for the remaining time.Alternatively, you can take out most of the sauce from the slow cooker after 8 hours of cooking. Then simmer the sauce over the stove on high heat, stirring, until it thickens. You may use the starch slurry to quicken the process. (My preferred method is thickening in the slow cooker as it’s less work and less clean up afterwards.)(Optional) Separate the fat using a fat separator or by storing it in the fridge for a few hours then scraping off the solidified fat. I don’t normally separate fat in the first serving, but if I’m eating it as a leftover, I remove the solidified fat as it’s quite convenient to remove.
Serve over rice. Garnish with green onions and/or toasted sesame seeds.",en-US,5.0,,My Korean Kitchen,505,6 serving(s),1 serving,199 kcal,44 g,5 g,1 g,1 g,,1163 mg,22 g,4 g,,
192,Korean Ground Beef and Rice Bowls,Sue,https://mykoreankitchen.com/korean-ground-beef-rice-bowls/,Korean,https://mykoreankitchen.com/wp-content/uploads/2020/06/2.-Korean-Ground-Beef-And-Rice-Bowls.jpg,"['1/4 cup soy sauce (, regular)', '2 Tbsp brown sugar', '1.5 Tbsp rice wine', '1/2 Tbsp minced garlic', '1 tsp minced ginger', 'A few sprinkles ground black pepper', '1/2 Tbsp toasted sesame oil', 'Some cooking oil (, I used rice bran oil)', '500 g beef mince ((1.1 pound))', '1/2 Tbsp toasted sesame seeds (, garnish)', '2 stalk green onions (, thinly sliced)', '2 cups cooked rice', 'avocado (, thinly sliced)', 'cucumber (, thinly sliced)', 'pink radish (, thinly sliced)', 'broccoli (, steamed or pan fried)', 'asparagus (, pan fried)', 'bell peppers (, pan fried)', 'egg (, sunny side up)', 'kimchi (, chopped)', 'roasted seasoned seaweed (, crushed or shredded)', '2 Tbsp gochujang ((Korean chili paste))', '1 Tbsp toasted sesame oil', '1 Tbsp sugar', '1 Tbsp water', '1 Tbsp toasted sesame seeds', '1 tsp rice vinegar', '1 tsp minced garlic']","Combine the ground beef sauce in a medium size bowl and whisk well. Set aside. If using bibimbap sauce, combine all the sauce in a separate bowl and set aside.
Cook
In a well heated skillet, cook the ground beef over medium high heat until the meat mostly turns brown (about 3- 4 mins). Stir often while breaking clumps of the meat.
Pour and Simmer
Pour the ground beef sauce over the meat and simmer for 2-3 mins, while stirring occasionally. Add the sesame seeds and green onions. Stir around quickly. Remove from the heat.
Serve the cooked beef over a bed of cooked rice. (Optional) Top up with your choice of sides and drizzle over the bibimbap sauce.",en-US,5.0,,My Korean Kitchen,15,4 serving(s),1 serving,551 kcal,37 g,26 g,32 g,11 g,89 mg,900 mg,10 g,1 g,,
193,Doenjang Jjigae (Korean Soybean Paste Stew),Sue | My Korean Kitchen,https://mykoreankitchen.com/doenjang-jjigae/,Korean,https://mykoreankitchen.com/wp-content/uploads/2020/02/3.-Beef-Doenjang-Jjigae.jpg,"['160 g beef brisket', '2 Tbsp rice wine ((mirim))', 'A few cracks ground black pepper', '3.5 cups rice water (, obtained by rinsing rice)', '3 Tbsp doenjang ((Korean soybean paste))', '1 Tbsp ssamjang ((Korean spicy dipping sauce))', '2 tsp gochugaru ((Korean chili flakes))', '1 tsp minced garlic', '100 g potato ((3.5 ounces), all rounder variety, thinly sliced)', '90 g zucchini ((3.1 ounces), thinly sliced)', '35 g onion ((1.2 ounces), thinly sliced)', '100 g enoki mushrooms ((3.5 ounces), stems removed and separated)', '45 g shiitake mushrooms ((1.5 ounces), thinly sliced)', '250 g tofu ((8.8 ounces), sliced into medium rectangle pieces)', '20 g green onions ((0.7 ounces), thinly sliced)', '2-3 chilies ((optional), green and red, thinly sliced)']","Combine the beef with rice wine and black peppers in a bowl. Mix them well. Preheat a medium sized pot briefly over medium high heat. Add the meat and stir. (You won’t need to add any oil as the meat should have some fat attached to it.) Cook until it browns. Add the potatoes and stir for about 2 mins.
Pour over the rice water and start boiling. Add doenjang (Korean soybean paste) and ssamjang (Korean spicy dipping sauce) into the water, using a sieve, so it is easier to dissolve. Add gochugaru (Korean chili flakes) and garlic. Stir around.
Once the water starts rolling boiling, add the zucchini and onions. Boil for 1 min. Add the mushrooms and tofu then boil for 1 min. Add green onions and chilies and boil a further 1 min. Remove from the heat.
Serve with steamed rice and other Korean side dishes. (i.e. the side dish above shows – Korean egg roll, seasoned seaweed, radish kimchi)",en-US,5.0,,My Korean Kitchen,25,4 serving(s),1 serving,154 kcal,16 g,13 g,4 g,1 g,25 mg,629 mg,4 g,4 g,,
194,Bibim Guksu (Korean Cold Noodle Salad),Sue,https://mykoreankitchen.com/spicy-sweet-and-vinegary-noodles-bibim-guksu/,Korean,https://mykoreankitchen.com/wp-content/uploads/2007/05/1.-Bibim-Guksu.jpg,"['180 g dried buckwheat noodles ((or soba noodles)(6.3 ounces))', '2 lettuce leaves ((40g / 1.5 ounces), e.g. butter or oakleaf lettuce, thinly sliced)', '1/4 red cabbage ((140g / 5 ounces), thinly sliced)', '1/2 small cucumber ((60g / 2 ounces), julienned)', '1/3 small carrot ((40g / 1.4 ounces), julienned)', '1 red radish ((60g / 2 ounces), optional, julienned)', 'A few snow pea sprouts (, optional)', '2 Tbsp kimchi (, cut into thumbnail size)', '2 Tbsp gochujang', '2 Tbsp rice vinegar', '1 Tbsp soy sauce', '1 Tbsp honey', '1 Tbsp brown sugar', '1 Tbsp sesame oil', '1 Tbsp toasted sesame seeds']","Boil the noodles in rolling boiling water following the package instructions. (I boiled mine for 3 mins.) Drain the noodles and run some cold water over the noodles to cool them down. Drain.
Serve
Place the noodles in a large serving bowl and add the salad ingredients and sauce. Serve.
Mix
To eat, mix all ingredients well with chopsticks and indulge.",en-US,4.8,,My Korean Kitchen,15,2 serving(s),1 serving,518 kcal,98 g,17 g,10 g,1 g,,1259 mg,21 g,3 g,,
195,Galbitang (Korean Beef Short Rib Soup),Sue | My Korean Kitchen,https://mykoreankitchen.com/galbitang-beef-short-rib-soup/,Korean,https://mykoreankitchen.com/wp-content/uploads/2020/04/1.-Galbitang-Beef-Short-Rib-Soup.jpg,"['1.2 - 1.4 kg beef short ribs ((2.6 – 3 pounds), membranes removed)', '1 onion ((200g / 7 ounces), cut into large chunks)', '250 g Korean radish ((or daikon radish), peeled)', '60 g green onions ((2 ounces), white part)', '30 g garlic ((1 ounce), peeled)', '10 whole black peppers', '10 cups water', '25 g green onions ((1 ounce), thinly sliced)', '70 g Korean glass noodles ((2.5 ounces), optional)', '1.5 Tbsp Korean soup soy sauce (or regular kikkoman soy sauce)', '1 Tbsp minced garlic', '2 tsp fine sea salt (, or more to taste)', 'ground black peppers (, to taste)', '2 eggs ((optional), egg white and yolk separated and cooked over medium low heat, thinly sliced)']","Soak the beef ribs in cold water for 20 mins. Change the water a few times during this time. This is to draw out the red liquid (which looks like blood) from the meat and also to rinse out any bone fragments.
In a large pot of rolling boiling water (enough to fully cover the ribs), boil the ribs for 6 to 8 minutes over medium high heat. Drain the water and rinse the ribs in cold water. Cut off any obvious excess fat from the ribs.Place them in a large clean pot. Add onions, radish, green onions, garlic, black peppers, and water (10 cups) into the pot and bring them to boil over medium high heat, covered. Once rolling boiling, reduce the heat to medium low heat and simmer for 1.5 hours.If adding, soak the glass noodles in a large bowl of cold water (fully immersed).
Gently take out the beef ribs and radish from the broth and set them aside. Strain the remaining ingredients over a large clean pot. Discard all the strained vegetables while keeping the broth. Remove the fat. (Refer to the tips mentioned above.) Thinly slice the radish and place them into the pot.
Season the beef ribs with the seasoning ingredients and gently place them into the pot. Bring the pot to boil over medium high heat for about 8 mins. Add the glass noodles and green onions and boil for a further 2 mins.
Serve the soup with cooked rice and other Korean side dishes (ie. radish kimchi and purple rice in the photo). If adding, garnish with julienned eggs (note that I only showed the cooked egg yolks in the photo, not the egg whites).",en-US,5.0,,My Korean Kitchen,95,6 serving(s),1 serving,389 kcal,17 g,36 g,19 g,8 g,155 mg,1192 mg,2 g,2 g,,
196,Nuclear Fire Noodle Fries,Sue | My Korean Kitchen,https://mykoreankitchen.com/nuclear-fire-noodle-fries/,Korean Fusion,https://mykoreankitchen.com/wp-content/uploads/2020/02/0.-Nuclear-Fire-Noodle-Fries.jpg,"['1 Nuclear fire noodle cup', '250-300 g french fries ((9 – 10 ounces), frozen)', '3-4 sheets roasted seasoned seaweed (, crushed with hands)', '1/2 Tbsp toasted sesame seeds', 'Some vegetable oil (to deep fry (I used rice bran oil))']","Deep fry the french fries following the package instruction. You could use an oven or air fryer per your cooking preference. Once the fries are golden and crisp transfer them into a large mixing bowl.
In the mean time, boil some water in a separate pot over medium high heat. Once the water is rapidly boiling, add the noodles and cook for 40 – 50 seconds. Stir occasionally. Remove the noodles using a sieve or tongs. Quickly shake off residual water from the noodles then deep fry the noodles (at the same temperature as the fries) for about 1 min. This will be easier if using a frying basket.Once the noodles get crisp, transfer them into the mixing bowl. Break the noodles into bite sized pieces with your hands. Be careful as it can still be hot to touch.
Add the flake sauce, which came with the noodles. It contains a mix of seaweed and sesame seeds. Add the spicy sauce, which also came with the noodles. Don’t add too much if you can’t handle it. The sauce is a liquid sauce, so be careful as you pour it in. It comes out quickly.Gently toss to coat. Garnish with extra seasoned seaweed and sesame seeds.
Transfer into the noodle cup. You may top up with more spicy sauce. Serve.",en-US,5.0,,My Korean Kitchen,15,2 serving(s),1 serving,551 kcal,70 g,8 g,27 g,10 g,,1096 mg,2 g,6 g,,
197,Kimchi Jjim (Braised Kimchi),Sue | My Korean Kitchen,https://mykoreankitchen.com/kimchi-jjim-braised-kimchi/,Korean,https://mykoreankitchen.com/wp-content/uploads/2020/03/1.-Kimchi-Jjim.jpg,"['800 g kimchi', '500 g pork butt ((scotch fillet), sliced to medium thickness (1 cm-1.5 cm / 0.5 inches) and length (6 cm-7 cm / 2 inches))', '2 Tbsp rice wine ((mirin))', 'A few cracks ground black pepper', '1 cup rice water', '1/2 onion ((60g / 2 ounces), thinly sliced)', '30 g green onion ((1 ounce), thinly sliced)', '1-2 green chilies ((optional), thinly sliced)', '1 Tbsp gochugaru', '1 Tbsp soy sauce', '1 Tbsp minced ginger', '1 Tbsp minced garlic', '1/2 Tbsp doenjang ((Korean soybean paste))', '1/2 Tbsp sugar']","Combine the meat with rice wine and a few cracks of ground black pepper in a small bowl. Mix well and set aside.
Combine all sauce ingredients in a small bowl and mix them well. Set aside.
Put all ingredients except for the green onions and chilies in a braising pot and bring it to boil over medium high heat (5 - 6 mins) covered. Then reduce the heat to medium low heat and simmer for 1 hour or until your desired tenderness is achieved. While simmering, stir around occasionally. Garnish with green onions and chilies. Remove from the heat.
Serve with cooked rice (i.e. Korean purple rice). Use a pair of scissors and tongs to cut the kimchi.",en-US,5.0,,My Korean Kitchen,70,4 serving(s),1 serving,139 kcal,5 g,17 g,5 g,2 g,50 mg,323 mg,2 g,1 g,,
198,Air Fryer Korean Chicken Wings,Sue,https://mykoreankitchen.com/air-fryer-chicken-wings/,Korean,https://mykoreankitchen.com/wp-content/uploads/2020/07/9.-Air-Fryer-Korean-Chicken-Wings.jpg,"['900 g chicken wings ((2 pounds))', '2 Tbsp rice wine', '1 tsp onion powder', '1 tsp garlic powder', '1 tsp fine sea salt', '1/4 tsp ginger powder', 'A few cracks ground black peppers', '3 Tbsp soy sauce (, regular)', '2 Tbsp water', '2 Tbsp rice wine', '2 Tbsp brown sugar', '2 Tbsp honey', '1/2 Tbsp minced ginger', '1/2 Tbsp minced garlic', 'A few cracks ground black peppers', '30 g green onions ((1 ounce), white part (optional))', '3 dried chilies ((optional))', '2 tsp corn starch', '2 tsp water', '1.5 Tbsp ketchup', '1 Tbsp gochujang ((Korean chilli paste))', '2 Tbsp honey', '2 Tbsp brown sugar', '1 Tbsp soy sauce', '1 Tbsp minced garlic', '1/2 Tbsp sesame oil', 'sesame seeds', 'green onion (, thinly sliced)']","In a bowl, place the chicken wings and add rice wine. Mix them well and set aside it for 5 mins.
Season Chicken Wings
Gently shake off the liquid from the wings and place them into a clean bowl. (Discard any residual liquid in the bowl from step.1). Add the onion powder, garlic powder, salt, ginger powder, and ground black peppers. Mix them well.
Air Fry Wings
Spray some cooking oil onto the air fryer basket. Place the seasoned chicken into the basket without overlapping too much. Set the air fryer temperature at 200 C / 400 F and cook each side for 10 mins or until the chicken wings are crisp and golden brown outside. Just note that the cook time may vary depending on your air fryer.
Make Sauce
Make your choice of chicken wing sauce following the instructions below.Soy Garlic SauceIn a sauce pan, combine all sauce ingredients (except for corn starch and water). Bring it to boil over medium low heat while stirring often. Once the sauce starts bubbling, take out (and discard) the chilies and green onion pieces. In a small bowl, combine the corn starch and water. Mix well then pour it over the sauce. Stir often. Once the sauce thickens or turns to glaze (within 1 – 2 mins), remove from the heat and cool down for 3-5 mins.Sweet & Spicy sauceIn a sauce pan, combine all sauce ingredients. Bring it to boil over medium low heat while stirring often. Once the sauce starts bubbling and thickens (about 4-5 mins), remove from the heat. Cool down the sauce for 3-5 mins.
Coat Sauce
Place the air fried chicken onto a lined sheet pan. Gently coat the chicken with your choice of sauce using a basting brush. Once all the chicken is coated with the sauce, serve.Coleslaw salad, Korean macaroni salad, corn cheese or pickled radish will go well with these chicken wings. Leftover chicken can be refrigerated for a day or two and eaten cold or reheated.",en-US,5.0,,My Korean Kitchen,25,4 serving(s),1 serving,389 kcal,23 g,25 g,21 g,6 g,94 mg,1733 mg,17 g,1 g,,
