index,title,author,url,cuisine,image_url,ingredients,instructions,language,ratings,reviews,site_name,total_time,yields,calories,carbohydrateContent,proteinContent,fatContent,saturatedFatContent,cholesterolContent,sodiumContent,sugarContent,servingSize,fiberContent,transFatContent
60,5 Ingredient Peanut Butter Chocolate Chip Cookies,Namiko Chen,https://www.justonecookbook.com/peanut-butter-chocolate-chip-cookies/,American,https://www.justonecookbook.com/wp-content/uploads/2011/12/Peanut-Butter-Chocolate-Chip-Cookies-w600.jpg,"['1 cup extra crunchy peanut butter ((250 g))', '1 large egg (50 g w/o shell)', '½ cup sugar ((100 g; white granulated; use ⅓ cup for less sweet))', '½ cup brown sugar ((100 g; use ⅓ cup for less sweet))', '⅓ cup semi-sweet chocolate chips ((60 g))']","Gather all the ingredients.
Preheat oven to 350 ºF (180 º C). In a medium-size bowl, stir to combine the peanut butter, granulated white sugar, brown sugar, and egg. Add the chocolate chips and stir again.
Using a cookie scooper or a 1 teaspoon measuring spoon, drop the batter onto a large baking sheet.
Bake the cookies for about 8 minutes or until lightly browned. I prefer crunchy cookies, so I bake about 9-10 minutes (my oven usually requires a bit more time than most recipe instructions).
Remove from oven and let sit on the tray for 5 minute before placing them on a wire rack to cool (because they are really soft).",en-US,5.0,,Just One Cookbook,20,16 serving(s),,,,,,,,,,,
61,Tofu Pudding (Blancmange),Namiko Chen,https://www.justonecookbook.com/tofu-pudding-blancmange/,Japanese,https://www.justonecookbook.com/wp-content/uploads/2014/10/Tofu-Pudding.jpg,"['⅓ cup boiling water', '4 sheets gelatin sheet(s)/powder ((0.4 oz, 10 g))', '6.2 oz firm silken tofu', '5 Tbsp honey', '1 ½ cup unsweetened soymilk', '½ tsp almond extract', '½ lb strawberries', '1 Tbsp honey', 'Juice from ¼ lemon', 'mint leaves ((for garnish))', 'Extra berries ((for garnish))']","Gather all the ingredients. You'll need five 4-oz (120 ml) ramekins.
Combine boiling water and gelatin in a bowl (or measuring cup) and whisk together until gelatin is completely dissolved.
Cut tofu into 1 inch cubes and add them inside a food processor. Add honey and soymilk and puree all together.
Transfer the mixture to a large bowl. Add the gelatin mixture and almond extract and whisk without making too much bubbles.
If you like your pudding to have extra smooth texture, run the mixture through a fine mesh sieve (optional).
Ladle the mixture into individual ramekins. Chill in the refrigerator until set, for at least 1 hour.
Meanwhile make the strawberry sauce. Cut strawberries into small cubes and mash with fork or potato masher. Add honey and lemon juice.
When the pudding is set, run a knife around the pudding to loosen. Turn over onto a plate and shake gently to release the pudding. Pour the strawberry sauce and garnish with mint leaves and extra berries (if any) on top.
To Store
You can keep the leftovers in the refrigerator for up to 3 days.",en-US,4.16,,Just One Cookbook,80,5 serving(s),,,,,,,,,,,
62,Mitarashi Dango,Namiko Chen,https://www.justonecookbook.com/mitarashi-dango/,Japanese,https://www.justonecookbook.com/wp-content/uploads/2019/09/Mitarashi-Dango-0689-I.jpg,"['100 g joshinko (Japanese rice flour) ((3 ½ oz; See Notes))', '100 g Shiratamako (glutinous rice flour/sweet rice flour) ((3 ½ oz; See Notes))', '150-160 ml warm water ((roughly ⅔ cup; Joshinko requires warm water))', '200 g Dangoko (Japanese rice dumpling flour) ((7 oz; See Notes))', '140-150 ml water ((roughly ⅔ cup))', '4 Tbsp sugar', '2 Tbsp mirin', '2 Tbsp soy sauce', '150 ml water ((roughly ⅔ cup))', '2 Tbsp potato starch/cornstarch']","Gather all the ingredients. Joshinko and Shiratamako on the left and Dangoko on the right. Whichever you decide to use, the instructions below are the same.
Gather ingredients for the sweet soy glaze. Soak the skewers in water. You can start boiling a large pot of water on low heat (See Step 8)
To Make Dango (Rice Dumplings)
Combine Shiratamako and Joshinko in a bowl (or add just Dangoko in a bowl).
Stir in warm water (or cold water for Dangoko) a little bit at a time while mixing with chopsticks. Please note: it is possible that you may need less or more water depending on where you live. I live in a dry climate, so I may use more water than you.
The flours start to stick together and eventually it becomes clumps. Using your hands, combine into one ball.
Knead until the dough becomes smooth. The texture is like squeezing an ""earlobe"" (that’s how we describe the tenderness for this type of mochi in Japanese).
Make the dough into a ball. Divide the dough into 8 equal pieces.
Then divide each piece into 2 balls. You will have 16 equal-sized balls. I always like to measure mine. Each ball should be 20 grams. You may have some extra dough, but that’s okay.
Shape into a nice smooth round ball. If the dough is cracking or has some wrinkle, tap your finger in water and apply the small amount of water on the cracked area to smooth out. I have 16 equal-sized balls.
Once the water in the pot is boiling, gently drop in each dumpling into the pot with a continuous motion. We want to cook them all at once, but also keeping them in good shapes. Stir the balls occasionally so they don’t stick on the bottom of the pot.
Dumplings will stay on the bottom first but once they are cooked, they will float. Then cook an additional 1-2 minute.
Transfer the dumplings into iced water.
Once the dumplings are cooled, drain well and transfer to a tray (if you wet the tray, the dumplings won’t stick).
Skewer three pieces into a bamboo skewer. Continue the rest of the balls and set aside.
To Make Sweet Soy Glaze
Combine all the ingredients in a saucepan without turning on the heat.
Potato starch/cornstarch will become lumps once you add the heat to it, so mix all together first. Then turn on the heat and continue to whisk.
Keep whisking as the mixture can become thick suddenly.
When the sauce becomes thick, remove the saucepan from the heat and transfer the sauce to a container or bowl. If you are making this sauce ahead of time, remove it from the heat earlier while the consistency is still not too thick because the moisture will evaporate and thicken as it cools.
To Serve
[Optional] If you have a kitchen torch, you can give them a little bit of char for taste. You can also grill over the direct heat (If you are going to place on a wire rack, dumplings tend to stick, so grease it). You can use a broiler to give a char or use a non-stick frying pan to pan fry the surface of dango.
Pour the sweet soy glaze on top and serve immediately.
To Store
Option 1: After you form the dough into round dumplings, you put uncooked dumplings in a single layer in an airtight container and freeze up to a month. When you use them, boil the frozen dango without defrosting.
Option 2: After boiling and cooling down, pat dry and pack into an airtight container without sticking to each other and freeze up to a month. When you use them, microwave or boil till they are warm.",en-US,4.69,,Just One Cookbook,45,5 serving(s),,,,,,,,,,,
63,Daifuku Mochi,Namiko Chen,https://www.justonecookbook.com/daifuku/,Japanese,https://www.justonecookbook.com/wp-content/uploads/2014/08/Daifuku-Mochi.jpg,"['¾ cup shiratamako (glutinous rice flour/sweet rice flour)', '¾ cup water', '¼ cup sugar ((do not omit sugar as it helps mochi stay softer))', '½ cup potato starch/cornstarch', '1 ½ cup red bean paste (anko)', '¾ cup mochiko (glutinous rice flour/sweet rice flour)']","Gather all the ingredients.
Combine shiratamako and sugar in a medium bowl and whisk all together.
Add water and mix well until combined.
Microwave Method: If you’re using a microwave to cook mochi, cover the bowl with some plastic wrap (do not cover too tight). Put the bowl in the microwave and heat it on high heat (1100w) for 1 minute. Take it out and stir with wet rubber spatula. Cover again and cook for 1 minute. Stir again, cover, and cook for 30 seconds to finish cooking. The color of mochi should change from white to almost translucent.
Steaming Method: If you’re using a steamer, cover the steamer lid with a towel so the condensation won’t drop into the mochi mixture. Put the bowl into a steamer basket and cover to cook for 15 minutes. Halfway cooking, stir with a wet rubber spatula and cover to finish cooking. The color of mochi should change from white to almost translucent.
Cover the work surface with parchment paper and dust it generously with potato starch. Then transfer the cooked mochi on top.
To prevent from sticking, sprinkle more potato starch on top of the mochi. Once it’s cool down a bit, you can spread the mochi into a thin layer with your hands or with a rolling pin. Make sure to apply potato starch on your hands and the rolling pin. I recommend using a rolling pin because it’s easier to evenly spread out.
Transfer the mochi with parchment paper onto a large baking sheet. Refrigerate for 15 minutes until the mochi is set.
Take out the mochi from the refrigerator and cut out 7-8 circles with the 3.5 inch (9 cm) cookie cutter.
Dust off the excess potato starch with a pastry brush. If you find some sticky part, cover the area with potato starch first then dust off. Place a plastic wrap on a plate and then mochi wrapper on top, then lay another layer of plastic wrapper down. Repeat for all wrappers. With leftover mochi dough, roll into a ball and then flatten into a thin layer again and cut out into more circle wrappers (I could make about 12 mochi wrappers).
Now we’re ready to make daifuku mochi. On the work surface, place one sheet of plastic wrap with a mochi layer on top. Using the cookie scoop, scoop out anko on top of the mochi wrapper.
Pinch the four corners of the mochi layer together to wrap the anko. Then pinch the remaining corners together.
Put some potato starch on the sealed area and set aside. Continue making the rest of daifuku mochi. Store in a cool dry place (refrigerator in summer months) and enjoy within two days.",en-US,4.58,,Just One Cookbook,48,12 serving(s),,,,,,,,,,,
64,Sweet Tart Crust,Namiko Chen,https://www.justonecookbook.com/tart-crust/,American,https://www.justonecookbook.com/wp-content/uploads/2018/11/Sweet-Tart-Crust-I.jpg,"['1 ¼ cup all-purpose flour (plain flour)', '½ cup confectioner’s sugar', '¼ tsp kosher/sea salt (I use Diamond Crystal; Use half for table salt)', '½ cup unsalted butter ((1 stick, 8 Tbsp; cold))', '1 large egg (50 g w/o shell) ((cold))', '½ tsp pure vanilla extract']","Make the Dough
Gather all the ingredients. If possible, keep all ingredients chilled in the refrigerator until ready to start.
Cut the butter into small cubes. Crack the egg into a small bowl.
Choice #1 - Pastry Cutter:
In a large bowl, stir together the flour, sugar, and salt.
Add the butter to the flour mixture. Using a pastry cutter or 2 knives, cut the butter into flour mixture until the texture resembles coarse cornmeal, with butter pieces no larger than small peas.
Add the egg and vanilla extract and mix with a fork just until the dough pulls together.
Choice #2 - Food Processor:
Process all-purpose flour, sugar, and salt in a food processor for a few seconds until combined.
Add the butter and pulse until mixture resembles coarse meal, about 15 pulses.
Add the egg and vanilla extract and pulse until the dough forms clumps, about 15 seconds.
Form Dough into a Disk
Transfer the dough clumps to a lightly floured surface (I use this pastry mat) and form into a ball. If sticky, lightly sprinkle flour.
Flatten the ball with your hands to form a thick disk. Wrap with plastic wrap and refrigerate for at least 1 hour (or 30 mins in the freezer). The dough must be completely chilled before being used. To store: If you don’t use the dough right away, you can store in the refrigerator for up to 3 days, or freeze it for up to 2 months. Thaw overnight in the refrigerator, then let sit at room temperature until easily rollable.
Roll Out the Dough
Take the dough out from the refrigerator and let it sit on the counter for a few minutes to soften slightly for easy rolling. Meanwhile lightly butter a 9-inch (23 cm) fluted tart pan with a removable bottom.
Lightly flour your working surface and place the dough on top. Using a rolling pin, roll out the dough into an 11-inch circle, with 1/8-inch (3 mm) thick. If the dough is too soft, put back into the refrigerator.
Flour the rolling pin and roll the dough loosely around it, then unroll it into the tart pan.
Evenly pat the dough onto the bottom and sides of the greased tart pan. Seal any cracks in the dough.
Trim off excess dough with a sharp knife, or with the rolling pin by rolling over the tart pan. A good tip I learned from a Japanese cookbook (optional): Using your index finger, gently press the dough onto the side so the dough will peak out 2 mm from the pan. The dough tends to shrink while baking, so this helps to keep the height of the crust.
With a fork, gently prick the dough several times. Cover the tart pan with plastic wrap and place in the freezer until firm, about 30 minutes. Freezing the dough before baking prevents it from shrinking.
Blind Bake the Crust
To prevent the crust from becoming soggy, I always like to blind bake the crust. Preheat the oven to 375ºF (190ºC) and place the rack in the center. For a convection oven, reduce cooking temperature by 25ºF (15ºC).
When the oven is ready, tightly line the chilled crust with 2 layers of parchment paper, covering the edges to prevent them from burning. Fill the crust with pie weights (or dried beans, uncooked rice, pennies, etc). Make sure they are evenly distributed over the entire surface.
Bake the crust for 20 minutes, until the foil no longer sticks to the dough. Transfer the crust to a wire rack and remove the pie weights and parchment paper.
To partially bake the crust, continue to bake the crust for 5 minutes longer. Proceed with your tart recipe: add the filling and finish baking. Check your recipe to see if the crust should be used while warm or after it’s been left to cool on a wire rack.
To fully bake the crust, bake for 10 minutes longer or until it is dry and the bottom turns lightly golden. Remove the crust from the oven and place on a wire rack to cool.
To Store the Baked Crust
The baked crust can be stored at room temperature or refrigerator for 2 days or frozen for 2 months. When ready to serve, let it thaw overnight in the refrigerator, then let sit at room temperature before filling and decorating.",en-US,4.44,,Just One Cookbook,50,1 serving(s),,,,,,,,,,,
65,Pear and Almond Tart,Namiko Chen,https://www.justonecookbook.com/pear-almond-tart/,American,https://www.justonecookbook.com/wp-content/uploads/2018/11/Pear-and-Almond-Tart-I.jpg,"['1 sweet tart crust ((9-10 inch, 23-25 cm))', '½ cup unsalted butter ((1 stick, 8 Tbsp; at room temperature))', '1 cup confectioners’ sugar/powdered sugar ((½ cup or 100 g if granulated sugar))', '1 cup almond flour', '2 Tbsp all-purpose flour (plain flour)', '¼ tsp kosher/sea salt (I use Diamond Crystal; Use half for table salt)', '2 large eggs (50 g each w/o shell) ((at room temperature))', '1 tsp pure vanilla extract', '1 Tbsp rum ((optional))', '1 tsp almond extract ((use 1 ½ tsp if you skip rum))', '3 Bartlett or Anjou pears', '½ lemon', '3 Tbsp apricot jam', '1 tsp confectioners’ sugar/powdered sugar ((for sprinkling))', '1 Tbsp sliced almonds ((for sprinkling))']","To Make Sweet Tart Crust
Make a ""partially baked"" crust by following this step. You can make the tart crust ahead of time.
To Make the Almond Cream Filling (Frangipane)
Gather all the ingredients. Make sure to take out the butter and eggs from the refrigerator and keep at room temperature. If the eggs are too cold when you add to the mixture, they reduce the temperature of the butter, making emulsion more difficult. Adding the eggs all at once also inhibits emulsion, and results in that scrambled egg appearance. You can soak the cold eggs for 5 minutes in warm (not hot!) water, but it's best to take out both butter and eggs out from the fridge earlier.
In a large bowl, cream the softened unsalted butter.
Add confectioners’ sugar and mix well until the mixture resembles a coarse meal.
Add almond flour, all-purpose flour, and salt, and mix well.
Add eggs one at a time and incorporate into the mixture.
Add vanilla extract, almond extract, and rum.
Whisk until homogenized and smooth. The almond cream can be kept refrigerated for up to 3 to 5 days or frozen for weeks.
For the Assembly
Preheat the oven to 375ºF (190ºC). For a convection oven, reduce cooking temperature by 25ºF (15ºC). Melt the apricot jam and 1 Tbsp water in the microwave for 10 seconds until liquefied. Apply the jam on the base of the cooled pastry case to prevent soggy bottom. Reserve the jam for later. Fill the baked tart crust with almond cream, smoothing out to the edges with an offset spatula, and refrigerate for 30 minutes to set.
Meanwhile, peel the pears, cut each in half lengthwise, and scoop out cores.
Cut each half crosswise into ⅛ inch (3 mm) slices. Squeeze the lemon and rub the pears with lemon juice to prevent browning.
Take out the tart crust from the refrigerator. Gently press each pear half to fan out toward the stem/top side. Slide the knife under pears and transfer to the almond filling.
Arrange the top with points facing in and pears fanning out toward the center. Make sure to space pears out so they are not touching, as the filling will puff up and they need room to expand.
Bake the Tart
Bake the tart at 375ºF (190ºC) until golden brown or the bamboo skewer inserted into the center of filling comes out clean, about 40-45 minutes.
Remove the tart from the oven and let cool in the pan on the wire rack. Brush the pears with the leftover apricot jam. Once it’s cool, carefully unmold the tart.
Toast the almond slices in the frying pan (no oil) until golden, about 5 minutes.
Sprinkle confectioners’ sugar and toasted almond slices on top, if desired, and serve slightly warm. Cut into wedges and enjoy!
Storage
The tart can be stored in the refrigerator up to 3 days. Slightly re-heat the tart before serving.",en-US,4.67,,Just One Cookbook,90,1 serving(s),,,,,,,,,,,
66,Sakura Mochi,Namiko Chen,https://www.justonecookbook.com/sakura-mochi/,Japanese,https://www.justonecookbook.com/wp-content/uploads/2020/03/Sakura-Mochi-9326-I.jpg,"['1 rice cooker cup sweet rice/glutinous rice (mochigome) ((¾ cup, 180 ml))', '¾ cup water', '1 drop red food coloring', '1 Tbsp sugar', '5 Tbsp red bean paste (anko)', '6 pickled sakura leaves']","Gather all the ingredients.
Rinse the sweet rice and soak it for at least 1 hour to overnight.
Meanwhile, soak the sakura leaves in water for 15 minutes to remove salt. Then dry the leaves with paper towel.
Wet your hands and roll anko into 6 small balls between hands.
Drain well and put the sweet rice in a large bowl.
Add water and red food coloring and mix well (don’t add too much as the color of the mochi will be too pink. I think I added a little too much.).
Cover with plastic wrap and microwave for 6 minutes (1100W). Mix once in between.
Uncover the plastic wrap and mix. Then cover with kitchen towel for 5 minutes.
Add sugar to the sweet rice and mix it all together.
Pound the sweet rice with a pestle until sweet rice is very sticky (keep some rice shape). Divide the rice into 6 portions.
On the prep surface, place a sheet of plastic wrap and spray a bit of water. Place ⅙ of sweet rice and spread it into a rectangular shape. Make sure there is no void in the center area.
Place an anko ball in the center and roll the sweet rice over it to cover anko.
Tighten the plastic wrap and twist to make a nice oval shape.
Lastly wrap with a sakura leaf. Leave it at room temperature for an hour or so till the mochi absorbs the flavors from the sakura leaf. Enjoy!
To Store
Rice gets hard when you refrigerate; therefore, keep the leftover in an airtight container and store it at room temperature. Enjoy it on the same day.",en-US,4.63,,Just One Cookbook,106,6 serving(s),,,,,,,,,,,
67,Miso Butter Cookies,Namiko Chen,https://www.justonecookbook.com/miso-butter-cookies/,Japanese,https://www.justonecookbook.com/wp-content/uploads/2020/04/Miso-Butter-Cookies-0356-I.jpg,"['½ cup unsalted butter', '½ cup sugar', '2 Tbsp miso', '1 large egg (50 g w/o shell) ((at room temperature; you can soak the eggs in warm water to bring to room temp))', '1 ⅔ cup all-purpose flour', '1 tsp baking powder', '3 Tbsp toasted white sesame seeds', '3 Tbsp toasted black sesame seeds']","Gather all the ingredients.
In a large bowl, using a handheld mixer or a stand mixer fitted with a paddle attachment, beat the butter for 30 seconds.
Add ½ cup sugar and 2 Tbsp miso.
Beat everything together on medium-high speed until smooth, light, and fluffy, about 2 minutes.
Crack the egg and whisk in a small bowl. Gradually add the egg to the butter mixture while mixing.
Beat on high speed until combined, about 1 minute. Scrape down the sides and up the bottom of the bowl and beat again as needed to combine in between.
In a small bowl, combine 1 ⅔ cup all-purpose flour and 1 tsp baking powder and mix with a fork (I do this extra step so that baking powder is evenly distributed when sifting).
With a fine-mesh sieve, sift the flour mixture over a medium bowl.
Gradually add the flour mixture into the mixing bowl at low speed.
Once you finish adding all the flour mixture, turn up to high speed and beat until incorporated.
Sprinkle a small amount of flour on the working surface and transfer the dough. If the dough is too soft, chill in the refrigerator for 15 minutes. By chilling, the butter/fat will solidify and it'll be easier to work with.
Roll the dough into a ball and cut in half. Note: This recipe can be used for cut out cookies. Form the dough into a disk, wrap and chill then roll out to ¼-½ inch, cut and bake.
Roll the dough into 2 long logs.
Each log should be 10 inches (25 cm) long with 1 inch (2.5 cm) diameter.
Cut the long logs in half; now you have four 5-inch (12.5 cm) logs.
Prepare a small flat container (or baking sheet) and add white sesame seeds (save the black one for later a time). Moist a sheet of paper towel with water and wrap around a log so the dough is moistened.
Roll the moistened log in the sesame seeds and wrap in parchment paper or plastic.
I've learned the best way to keep the dough from flattening out on the bottom is to place the dough on rice.
Roll the other 2 logs in the black sesame seeds and wrap in parchment paper or plastic.
Chill the cookie dough in the refrigerator for at least 30 minutes. Meanwhile, preheat oven to 350°F (180°C). For a convection oven, reduce cooking temperature by 25ºF (15ºC). Prepare a baking sheet lined with parchment paper.
Once the dough is chilled, use a sharp knife to cut dough into 8 slices of even thickness.
Cut the rest of the cookie dough and transfer to the baking sheet lined with parchment paper. If the dough is no longer chilled, you can put the baking sheet in the refrigerator for 15 minutes until the cookies are chilled and firm. Tip: If the cookie dough is chilled, they will not completely lose their shape.
Bake the chilled cookies for 20-22 minutes or until lightly browned on the edges.
Remove from the oven and allow to cool on the baking sheet for 5 minutes before transferring to a wire rack to cool completely.
To Store:
These cookies stay fresh in an airtight container at room temperature for up to 1 week. I usually reheat the cookies at 350ºF (180ºC) in the toaster oven (or oven) until toasty. To freeze the dough: Tightly wrap the logs in plastic wrap and put them into freezer bags. Freeze for up to 3 months. Let them thaw in the refrigerator for 2 hours before slicing.",en-US,4.62,,Just One Cookbook,70,32 serving(s),,,,,,,,,,,
68,Matcha Green Tea Donuts,Namiko Chen,https://www.justonecookbook.com/green-tea-donuts/,Japanese,https://www.justonecookbook.com/wp-content/uploads/2014/09/Green-Tea-Donuts.jpg,"['¾ cup cake flour ((¾ cup = 95 g) (See Notes for homemade recipe))', '2 Tbsp sugar ((2 Tbsp = 25 g))', '½ tsp baking powder', '¼ tsp kosher/sea salt (I use Diamond Crystal; Use half for table salt)', '1 Tbsp matcha (green tea powder) ((1 Tbsp = 6 g))', '1 large egg (50 g w/o shell) ((beaten))', '⅓ cup milk ((⅓ cup = 80 ml))', '2 Tbsp unsalted butter ((2 Tbsp = 35 g) (melted))', '1 Tbsp honey', '¼ cup chocolate chips ((I use semi sweet chocolate chips, but white chocolate goes well too!))', 'Sprinkles of your choice']","Gather all the ingredients.
Preheat oven to 425 F (220C). Lightly coat your donut pan with cooking spray.
Add all the dry ingredients (flour, sugar, baking powder, salt, and matcha) in a large mixing bowl and whisk to combine (you can sift dry ingredients first, but this is a short cut – just whisk for 15 seconds).
Add the beaten egg, milk, melted butter and honey to the mixing bowl, and whisk until incorporated.
Use a pastry bag fitted with a round tip (or a large Ziploc bag with one corner snipped off) to pipe the batter into the donut mold. Fill each mold about 3/4 full.
Bake donuts for 8 minutes, or until an inserted skewer comes out clean and the donuts spring back when you lightly press your finger into them. Let cool in the pan for a few minutes before transferring them to a wire rack.
To make the chocolate glaze, melt the chocolate in a double boiler (or in the microwave: method shared on this post).
Dip the cooled donuts into the melted chocolate and top with sprinkles of your choice. I recommend these donuts to be consumed on the same day.",en-US,4.72,,Just One Cookbook,30,6 serving(s),,,,,,,,,,,
69,Lavender Madeleines,Namiko Chen,https://www.justonecookbook.com/lavender-madeleines-guest-post-by-roti-n-rice/,French,https://www.justonecookbook.com/wp-content/uploads/2012/03/Lavender-Madeleines.jpg,"['¾ cup all-purpose flour (plain flour) ((¾ cup = 115 g))', '½ tsp baking powder', '¼ tsp kosher/sea salt (I use Diamond Crystal; Use half for table salt)', '1 Tbsp culinary lavender ((crushed to release its fragrance))', '2 large eggs (50 g each w/o shell) ((at room temperature))', '⅓ cup sugar ((⅓ cup = 75 g))', '1 tsp pure vanilla extract', '1 stick unsalted butter ((1 stick = 8 tbsp or 115 g) (melted))', 'all-purpose flour (plain flour) ((for greasing and dusting pan))', 'unsalted butter ((for greasing and dusting pan))', 'confectioners’ sugar/powdered sugar ((optional))']","Grease a standard size Madeleine pan well. Dust with flour. Preheat oven to 375°F (190°C).
Sift together all-purpose flour, baking powder, and salt. Mix in lavender. Set aside.
Beat sugar, eggs, and vanilla together until light and fluffy, about 5 minutes.
Add flour mixture and melted butter.
Gently fold in flour and butter until well incorporated.
Spoon batter into each mold cavity until almost full.
Bake for 12 to 13 minutes or until the edges are golden brown and the centers spring back when lightly touched. Do not over bake.
Remove from oven and cool for 5 minutes in pan. Turn the pan over and give it a light tap to unmold.
Cool on rack, shell side up. Dust with powdered sugar and serve with tea or coffee.",en-US,4.0,,Just One Cookbook,55,12 serving(s),,,,,,,,,,,
70,Purin Dora,Namiko Chen,https://www.justonecookbook.com/purin-dora/,Japanese,https://www.justonecookbook.com/wp-content/uploads/2018/02/Purin-Dora-w722.jpg,"['⅔ cup sugar', '2 Tbsp water', '2 Tbsp boiling water', '4 sheets gelatin powder/sheet ((1 Tbsp; 10 g, 0.35 oz))', '¼ cup water', '4 large egg yolks', '⅓ cup sugar ((⅓ cup + 1 Tbsp to be precise))', '1 ¼ cup whole milk ((divided))', '½ cup heavy (whipping) cream', '2 tsp pure vanilla extract', '4 large eggs (50 g each w/o shell)', '⅔ cup sugar', '2 Tbsp honey', '1 ⅓ cup all-purpose flour (plain flour)', '1 tsp baking powder', '2 Tbsp water ((Please adjust, between 1-2 Tbsp))', '1 tsp neutral-flavored oil (vegetable, canola, etc) ((for cooking))']","Day 1 – Making Purin
Gather all the ingredients. You will also need eight 4-oz (120-ml) ramekins.
1: To Make Caramel Sauce:
Prepare boiling water (you will only need 2 Tbsp) and a cold damp towel (for Step 4).
In a small saucepan, combine ⅔ cup (140 g) sugar and 2 Tbsp water over medium heat. Stir a few times and let the sugar dissolved.
Once the mixture comes to a boil, about 4 minutes, lower the heat to simmer. Gently swirl and tilt the pot around the heat (don't stir it) to distribute the color evenly until it becomes amber (like darker honey), about 6 minutes.
Once it reaches the desired amber color, immediately remove the pot from heat to a cold damp towel and add 2 Tbsp boiling water. It will create a huge splash so please be careful. You can shield yourself with a lid or wear oven mitts to protect your hands. Stir the saucepan to mix together. This will slightly thin out the caramel sauce and ensure it doesn’t become too thick in the ramekins.
[Optional] Briefly dip the ramekins in hot water to warm up and shake off excess water. This will prevent the caramel from solidifying.
While caramel is still hot, evenly distribute the caramel among the 8 ramekins. Set aside and let the caramel thicken naturally (which is why the caramel will not mix with the custard mixture later).
2: To Make Custard
In a small heat-resistant bowl, cut 4 gelatin sheets* into thin ½ inch (1.3 cm) strips. Add ¼ cup (60 ml) water to the bowl and set aside for 5-6 minutes until the gelatin “blooms” (expands). Make sure the bowl is larger than the opening of the saucepan you'll be using in Step 3 below.
In a saucepan bring 1 inch (2.5 cm) of water to simmer and place the bowl of gelatin mixture over the saucepan. Steam will immediately warm up the glass bowl and start dissolving the gelatin. Turn off the heat and set aside. If somehow you end up taking a longer time to do the following process and the gelatin has set into a solid, you will need to melt it back into a liquid with double boiler again.
In a large mixing bowl, whisk together 4 egg yolks and ⅓ cup + 1 Tbsp (80 g) sugar until pale and creamy.
In a medium saucepan, heat ⅔ cup (150 ml) milk over medium heat until the milk is warm to the touch. We’ll be using the other half of milk later on.
Slowly add in the warm milk, whisking constantly (tempering the egg mixture).
Pour the mixture back into the saucepan. Cook over medium-low heat, stirring constantly, until the mixture coats a spoon with a thin film, or small bubbles start to form at the edges of the saucepan, or reaches 160ºF (71ºC). Keep an eye on the pot ALL THE TIME; otherwise the mixture will burn on the bottom.
Add in the gelatin mixture (from Step 2 above) and mix well. Remove from the heat.
Strain the mixture through a fine sieve into a clean bowl. Stir in the rest of the milk (⅔ cup, 150 ml).
Add ½ cup (120 ml) heavy whipping cream and 2 tsp vanilla. We’re adding them at the end to help the mixture cool down faster.
Whisk all together. Transfer the mixture into a large cup with a pout (optional).
Divide the custard into the 8 ramekins. Cover with plastic wrap and chill in the fridge overnight or up to 3 days. The caramel on the bottom will become thinner after the moisture from the custard transfers to the caramel.
Day 2 – Making Dorayaki
Gather all the ingredients.
In a large bowl, combine 4 eggs, ⅔ cup (140 g) sugar, and 2 Tbsp honey and whisk well until the mixture becomes fluffy.
Sift 1 ⅓ cup (160 g) all-purpose flour and 1 tsp baking powder into the bowl and mix all together.
Keep in the fridge to rest for 15 minutes.
About 5 minutes before taking out the batter from the fridge, start heating a large non-stick frying pan over low heat. It's best to take your time and heat the pan slowly so there will be no hot spots. I keep the heat setting to the lowest for 5 minutes.
Take out the batter from the refrigerator. The batter should be slightly smoother now. Stir in 2 Tbsp* of water and whisk to combine until the batter reaches the ribbon stage (When you lift the whisk over the mixture, the batter falls slowly forming thick ribbons which hold their shape atop the batter). *Depends on the size of eggs and how accurate your flour measurement is, the water amount may vary, so start adding 1 Tbsp first, then slowly add more if needed.
Dip a paper towel in 1 tsp vegetable oil and coat the bottom of the pan with the oil. Then wipe off the oil completely (that's the key for evenly golden brown dorayaki surface).
With a ladle or a small measuring cup (I use a 4 Tbsp measuring cup), pour 3 Tbsp of the batter from 3"" (8 cm) above the pan to create 3"" (8 cm) diameter pancakes. Set timer for 90 seconds (with my gas stove ""low setting"" and frying pan).
Using an offset spatula, release the edges of the pancake, and then switch to a larger spatula and flip. Cook the other side for 30 seconds and then transfer to a baking sheet lined with parchment paper or silicone baking mat. You do not need to oil the pan again. Continue making pancakes; you can make about 12 3-inch (8-cm) pancakes total.
Final Step – Assembly
To serve, run a small sharp knife around the edge of each ramekin to loosen the custard.
Place a pancake on your serving plate and invert the custard onto the center of the pancake. If it doesn’t release right away, gently shake the ramekin a few times or insert a knife/toothpick around the edges to release the custard. Place another pancake on top to sandwich the purin. Enjoy!
To Store
You can keep the purin and dorayaki separately. Store them in the refrigerator for up to 2-3 days.",en-US,4.5,,Just One Cookbook,390,6 serving(s),,,,,,,,,,,
